住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県加古川市別府町新野辺北町１丁目,34.7328203,134.8449941,183
兵庫県加古川市別府町新野辺北町２丁目,34.7329431,134.8429472,263
兵庫県加古川市別府町新野辺北町３丁目,34.7360972,134.8391457,299
兵庫県加古川市別府町西脇,34.7230325,134.8499647,181
兵庫県加古川市別府町西脇２丁目,34.7248249,134.8490876,53
兵庫県加古川市別府町西脇３丁目,34.7231553,134.8479181,65
兵庫県加古川市別府町新野辺北町４丁目,34.7388649,134.8391457,146
兵庫県加古川市別府町新野辺北町５丁目,34.7395679,134.8406078,290
兵庫県加古川市別府町新野辺北町６丁目,34.7372308,134.8426548,199
兵庫県加古川市別府町新野辺北町７丁目,34.7390407,134.8441169,285
兵庫県加古川市別府町新野辺北町８丁目,34.7351749,134.8452865,343
兵庫県加古川市八幡町下村,34.7868118,134.9136581,379
兵庫県加古川市八幡町野村,34.7780248,134.9230002,208
兵庫県加古川市八幡町宗佐,34.7957129,134.9230002,478
兵庫県加古川市八幡町船町,34.7931366,134.9084024,110
兵庫県加古川市八幡町上西条,34.7800889,134.8996414,348
兵庫県加古川市八幡町中西条,34.7888758,134.8902946,233
兵庫県加古川市平荘町山角,34.8042679,134.8762708,234
兵庫県加古川市平荘町養老,34.7970413,134.8704263,166
兵庫県加古川市平荘町里,34.7959967,134.8631365,268
兵庫県加古川市平荘町池尻,34.7903106,134.8563965,222
兵庫県加古川市平荘町西山,34.803585,134.8563965,106
兵庫県加古川市平荘町小畑,34.8113429,134.8587351,331
兵庫県加古川市平荘町一本松,34.8112812,134.84938,138
兵庫県加古川市平荘町神木,34.8078056,134.8675038,59
兵庫県加古川市平荘町上原,34.8147658,134.875102,73
兵庫県加古川市平荘町中山,34.8308053,134.8762708,x
兵庫県加古川市平荘町磐,34.8242575,134.8902946,91
兵庫県加古川市平荘町新中山,34.8071351,134.8707186,x
兵庫県加古川市上荘町小野,34.8081902,134.8844519,247
兵庫県加古川市上荘町薬栗,34.8049171,134.8914631,196
兵庫県加古川市上荘町見土呂,34.8127277,134.903146,155
兵庫県加古川市上荘町国包,34.7961878,134.9101543,394
兵庫県加古川市上荘町井ノ口,34.8089218,134.9136581,89
兵庫県加古川市上荘町白沢,34.8177643,134.9136581,10
兵庫県加古川市上荘町都染,34.7979332,134.8952356,163
兵庫県加古川市上荘町都台１丁目,34.8101653,134.8908788,284
兵庫県加古川市上荘町都台２丁目,34.8101797,134.8932157,233
兵庫県加古川市上荘町都台３丁目,34.8134965,134.8932157,196
兵庫県加古川市東神吉町神吉,34.7951032,134.8294941,"2,004"
兵庫県加古川市東神吉町天下原,34.8001555,134.840023,338
兵庫県加古川市東神吉町升田,34.7885626,134.8435321,581
兵庫県加古川市東神吉町出河原,34.781329,134.8376834,655
兵庫県加古川市東神吉町砂部,34.7843013,134.827739,543
兵庫県加古川市東神吉町西井ノ口,34.7845315,134.8213033,"1,693"
兵庫県加古川市西神吉町辻,34.7977108,134.8072585,215
兵庫県加古川市西神吉町岸,34.7899802,134.8095996,"1,885"
兵庫県加古川市西神吉町大国,34.795565,134.8166222,699
兵庫県加古川市西神吉町西村,34.8000249,134.8213033,111
兵庫県加古川市西神吉町中西,34.7958793,134.8218884,263
兵庫県加古川市西神吉町宮前,34.8045165,134.8306641,290
兵庫県加古川市西神吉町鼎,34.8055412,134.8189628,269
兵庫県加古川市米田町平津,34.7820199,134.8183776,"1,963"
兵庫県加古川市米田町船頭,34.7757453,134.8306641,702
兵庫県加古川市志方町志方町,34.8271403,134.8224735,910
兵庫県加古川市志方町上冨木,34.8122451,134.828324,640
兵庫県加古川市志方町投松,34.7569193,134.84136,139
兵庫県加古川市志方町高畑,34.8261437,134.8388532,150
兵庫県加古川市志方町廣尾,34.8262653,134.8575658,222
兵庫県加古川市志方町岡,34.8300682,134.8470409,81
兵庫県加古川市志方町細工所,34.837234,134.8435321,441
兵庫県加古川市志方町野尻,34.8417749,134.8622428,36
兵庫県加古川市志方町大澤,34.846021,134.8341739,134
兵庫県加古川市志方町行常,34.8398847,134.8259839,56
兵庫県加古川市志方町畑,34.8525041,134.8107701,83
兵庫県加古川市志方町雑郷,34.8441843,134.8072585,x
兵庫県加古川市志方町東飯坂,34.8354291,134.8213033,51
兵庫県加古川市志方町東中,34.8299452,134.828324,50
兵庫県加古川市志方町大宗,34.8258167,134.8312491,x
兵庫県加古川市志方町西飯坂,34.8277014,134.8236436,80
兵庫県加古川市志方町西中,34.82876,134.8166222,139
兵庫県加古川市志方町永室,34.8259539,134.8107701,215
兵庫県加古川市志方町西牧,34.834675,134.7920386,159
兵庫県加古川市志方町山中,34.826384,134.7932095,60
兵庫県加古川市志方町原,34.7569193,134.84136,254
兵庫県加古川市志方町成井,34.8126094,134.8014053,124
兵庫県加古川市志方町西山,34.8043174,134.802576,41
兵庫県加古川市志方町横大路,34.8082496,134.8107701,364
