住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県神戸市東灘区住吉山手２丁目,34.7261786,135.2562887,477
兵庫県神戸市東灘区住吉山手３丁目,34.7282337,135.2589261,208
兵庫県神戸市東灘区住吉山手４丁目,34.7282746,135.2542374,492
兵庫県神戸市東灘区住吉山手５丁目,34.7310352,135.2554095,257
兵庫県神戸市東灘区住吉山手６丁目,34.7321231,135.2577539,91
兵庫県神戸市東灘区住吉山手７丁目,34.733816,135.2542374,573
兵庫県神戸市東灘区住吉山手８丁目,34.7365967,135.2530653,336
兵庫県神戸市東灘区住吉山手９丁目,34.7415935,135.2518932,214
兵庫県神戸市東灘区田中町１丁目,34.725165,135.2768063,944
兵庫県神戸市東灘区田中町２丁目,34.7236539,135.2753405,802
兵庫県神戸市東灘区田中町３丁目,34.7237225,135.2737033,616
兵庫県神戸市東灘区田中町４丁目,34.7225874,135.2706501,444
兵庫県神戸市東灘区田中町５丁目,34.721641,135.2680119,505
兵庫県神戸市東灘区西岡本１丁目,34.7237169,135.268305,774
兵庫県神戸市東灘区西岡本２丁目,34.7233247,135.265667,665
兵庫県神戸市東灘区西岡本３丁目,34.7254109,135.2647877,632
兵庫県神戸市東灘区西岡本４丁目,34.727084,135.2636154,365
兵庫県神戸市東灘区西岡本５丁目,34.7283336,135.2633223,334
兵庫県神戸市東灘区西岡本６丁目,34.7298654,135.262443,395
兵庫県神戸市東灘区西岡本７丁目,34.7315382,135.2612707,258
兵庫県神戸市東灘区深江北町１丁目,34.7267664,135.2987996,1014
兵庫県神戸市東灘区深江北町２丁目,34.7251355,135.29528,760
兵庫県神戸市東灘区深江北町３丁目,34.7240483,135.2929337,737
兵庫県神戸市東灘区深江北町４丁目,34.722961,135.2905876,633
兵庫県神戸市東灘区深江北町５丁目,34.7218737,135.2882415,214
兵庫県神戸市東灘区深江浜町,34.7076531,135.2970397,369
兵庫県神戸市東灘区深江本町１丁目,34.7252335,135.2996795,853
兵庫県神戸市東灘区深江本町２丁目,34.7236027,135.2961599,591
兵庫県神戸市東灘区深江本町３丁目,34.7222437,135.293227,1066
兵庫県神戸市東灘区深江本町４丁目,34.721439,135.2902943,391
兵庫県神戸市東灘区深江南町１丁目,34.7212,135.3011462,1849
兵庫県神戸市東灘区深江南町２丁目,34.7223308,135.2987996,990
兵庫県神戸市東灘区深江南町３丁目,34.7223525,135.2964531,718
兵庫県神戸市東灘区深江南町４丁目,34.7201564,135.2941068,778
兵庫県神戸市東灘区本庄町１丁目,34.7279183,135.2941068,1150
兵庫県神戸市東灘区本庄町２丁目,34.726831,135.2917606,875
兵庫県神戸市東灘区本庄町３丁目,34.7257437,135.2894145,558
兵庫県神戸市東灘区御影１丁目,34.7201339,135.2504281,705
兵庫県神戸市東灘区御影２丁目,34.7230356,135.2513072,771
兵庫県神戸市東灘区御影３丁目,34.721686,135.2472052,557
兵庫県神戸市東灘区御影石町１丁目,34.7088876,135.2530653,387
兵庫県神戸市東灘区御影石町２丁目,34.7127778,135.2518932,782
兵庫県神戸市東灘区御影石町３丁目,34.7144508,135.2507211,500
兵庫県神戸市東灘区御影石町４丁目,34.7172321,135.2495491,412
兵庫県神戸市東灘区御影郡家１丁目,34.7205161,135.2542374,1124
兵庫県神戸市東灘区御影郡家２丁目,34.7232768,135.2554095,478
兵庫県神戸市東灘区御影塚町１丁目,34.7094731,135.2495491,205
兵庫県神戸市東灘区御影塚町２丁目,34.7122546,135.2483771,774
兵庫県神戸市東灘区御影塚町３丁目,34.70895,135.2460332,358
兵庫県神戸市東灘区御影塚町４丁目,34.7115903,135.2451543,311
兵庫県神戸市東灘区御影中町１丁目,34.7159205,135.2568748,731
兵庫県神戸市東灘区御影中町２丁目,34.7184197,135.2562887,298
兵庫県神戸市東灘区御影中町３丁目,34.7162132,135.2551165,579
兵庫県神戸市東灘区御影中町４丁目,34.7181581,135.2545304,410
兵庫県神戸市東灘区御影中町５丁目,34.7151151,135.2539444,85
兵庫県神戸市東灘区御影中町６丁目,34.7178965,135.2527723,366
兵庫県神戸市東灘区御影中町７丁目,34.7151255,135.2527723,302
兵庫県神戸市東灘区御影中町８丁目,34.7179069,135.2516002,280
兵庫県神戸市東灘区御影本町１丁目,34.7093895,135.2589261,35
兵庫県神戸市東灘区御影本町２丁目,34.71328,135.2577539,720
兵庫県神戸市東灘区御影本町３丁目,34.7095412,135.2574609,218
兵庫県神戸市東灘区御影本町４丁目,34.7128773,135.2562887,274
兵庫県神戸市東灘区御影本町５丁目,34.7092798,135.2557026,157
兵庫県神戸市東灘区御影本町６丁目,34.7128877,135.2551165,409
兵庫県神戸市東灘区御影本町７丁目,34.7098445,135.2545304,175
兵庫県神戸市東灘区御影本町８丁目,34.7123439,135.2539444,425
兵庫県神戸市東灘区御影山手１丁目,34.7255345,135.2507211,443
兵庫県神戸市東灘区御影山手２丁目,34.7244669,135.2460332,586
兵庫県神戸市東灘区御影山手３丁目,34.7290308,135.2469122,667
兵庫県神戸市東灘区御影山手４丁目,34.7266834,135.2460332,405
兵庫県神戸市東灘区御影山手５丁目,34.7267036,135.2436894,450
兵庫県神戸市東灘区御影山手６丁目,34.7304412,135.2439824,314
兵庫県神戸市東灘区本山北町１丁目,34.7295256,135.2850159,268
兵庫県神戸市東灘区本山北町２丁目,34.7287206,135.2820838,344
兵庫県神戸市東灘区本山北町３丁目,34.7281979,135.2785654,441
兵庫県神戸市東灘区本山北町４丁目,34.7318947,135.2835498,417
兵庫県神戸市東灘区本山北町５丁目,34.7308072,135.2812041,499
兵庫県神戸市東灘区本山北町６丁目,34.731393,135.2776859,475
兵庫県神戸市東灘区本山町岡本,34.7389529,135.2688913,22
兵庫県神戸市東灘区本山町北畑,34.7405226,135.279445,32
兵庫県神戸市東灘区本山町北畑字ザクガ原,34.729401,135.277388,23
兵庫県神戸市東灘区本山町田辺,34.7438686,135.2770995,17
兵庫県神戸市東灘区本山中町１丁目,34.7279825,135.2870686,451
兵庫県神戸市東灘区本山中町２丁目,34.7268951,135.2847227,639
兵庫県神戸市東灘区本山中町３丁目,34.7269164,135.282377,761
兵庫県神戸市東灘区本山中町４丁目,34.7258289,135.2800314,1043
兵庫県神戸市東灘区本山南町１丁目,34.7236781,135.2879483,373
兵庫県神戸市東灘区本山南町２丁目,34.7225908,135.2856024,530
兵庫県神戸市東灘区本山南町３丁目,34.7219165,135.2835498,914
