住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県姫路市宮西町２丁目,34.8278941,134.7073666,35
兵庫県姫路市宮西町３丁目,34.8275835,134.70516,101
兵庫県姫路市宮西町４丁目,34.8264102,134.7055999,30
兵庫県姫路市神和町,34.8311318,134.7073596,155
兵庫県姫路市城見町,34.8330841,134.7091192,152
兵庫県姫路市幸町,34.8320892,134.7058932,253
兵庫県姫路市宮上町１丁目,34.8310379,134.7129314,323
兵庫県姫路市宮上町２丁目,34.8345012,134.7132247,127
兵庫県姫路市双葉町,34.8321267,134.7105855,157
兵庫県姫路市楠町,34.8349049,134.7117585,221
兵庫県姫路市花田町高木,34.8468416,134.7158637,307
兵庫県姫路市花田町小川,34.8407969,134.7217278,1204
兵庫県姫路市花田町上原田,34.8359136,134.7346261,673
兵庫県姫路市花田町加納原田,34.8303228,134.7275911,1240
兵庫県姫路市花田町勅旨,34.8335899,134.720555,605
兵庫県姫路市花田町一本松,34.8258563,134.7229005,276
兵庫県姫路市北条,34.8223252,134.6970938,1204
兵庫県姫路市阿保,34.8201865,134.7064797,1516
兵庫県姫路市庄田,34.8153374,134.6894664,248
兵庫県姫路市南条,34.8114693,134.6906399,242
兵庫県姫路市三条町１丁目,34.8113085,134.6879995,116
兵庫県姫路市三条町２丁目,34.8096365,134.6868259,35
兵庫県姫路市佃町,34.8141899,134.684772,298
兵庫県姫路市市之郷,34.8243547,134.7082394,183
兵庫県姫路市南駅前町,34.8253283,134.6918134,117
兵庫県姫路市豊沢町,34.8236568,134.6906399,227
兵庫県姫路市北条永良町,34.8181757,134.6976805,323
兵庫県姫路市北条梅原町,34.8131804,134.6965072,485
兵庫県姫路市南条１丁目,34.8104923,134.6897598,128
兵庫県姫路市南条２丁目,34.811348,134.6926936,114
兵庫県姫路市南条３丁目,34.8094449,134.6887329,11
兵庫県姫路市北条１丁目,34.8231319,134.6941604,275
兵庫県姫路市北条宮の町,34.8181367,134.6929869,563
兵庫県姫路市三左衛門堀東の町,34.8188121,134.6909333,201
兵庫県姫路市三左衛門堀西の町,34.8187925,134.6885862,436
兵庫県姫路市西延末,34.8243452,134.6736208,488
兵庫県姫路市延末,34.8255125,134.680664,339
兵庫県姫路市東延末,34.8208183,134.6824246,38
兵庫県姫路市手柄,34.8163463,134.6777295,326
兵庫県姫路市亀山,34.809113,134.6742078,453
兵庫県姫路市飯田,34.8143518,134.6712729,288
兵庫県姫路市東延末４丁目,34.8215231,134.6838917,178
兵庫県姫路市東延末５丁目,34.8190153,134.6821312,68
兵庫県姫路市安田１丁目,34.8201529,134.6856522,129
兵庫県姫路市安田２丁目,34.8190351,134.6844786,194
兵庫県姫路市安田３丁目,34.8176451,134.6838917,203
兵庫県姫路市安田４丁目,34.8176648,134.686239,499
兵庫県姫路市栗山町,34.8156911,134.6821312,534
兵庫県姫路市手柄１丁目,34.8153992,134.6803705,261
兵庫県姫路市手柄２丁目,34.8126089,134.6780229,168
兵庫県姫路市東延末１丁目,34.8237587,134.686239,266
兵庫県姫路市東延末２丁目,34.8225098,134.6859456,366
兵庫県姫路市東延末３丁目,34.8212805,134.6879995,99
兵庫県姫路市延末１丁目,34.8234474,134.6821312,93
兵庫県姫路市亀山１丁目,34.8079844,134.6718599,254
兵庫県姫路市亀山２丁目,34.8107652,134.6730339,255
兵庫県姫路市飯田１丁目,34.8090723,134.6695118,257
兵庫県姫路市飯田２丁目,34.8133846,134.6715664,224
兵庫県姫路市飯田３丁目,34.8124376,134.6742078,379
兵庫県姫路市西新町,34.8364508,134.6803705,232
兵庫県姫路市船丘町,34.8350611,134.6797836,148
兵庫県姫路市琴岡町,34.8356053,134.6786098,102
兵庫県姫路市元町,34.8356344,134.6821312,232
兵庫県姫路市小姓町,34.8350902,134.6833049,112
兵庫県姫路市米田町,34.8350342,134.6849187,64
兵庫県姫路市上片町,34.8350038,134.6854322,4
兵庫県姫路市博労町,34.8328842,134.6844786,143
兵庫県姫路市地内町,34.8339824,134.6833049,10
兵庫県姫路市片田町,34.8331138,134.6829381,31
兵庫県姫路市福沢町,34.8306587,134.6833049,324
兵庫県姫路市千代田町,34.8285545,134.6800771,314
兵庫県姫路市船橋町２丁目,34.8336908,134.6815443,145
兵庫県姫路市船橋町３丁目,34.8341646,134.6802238,13
兵庫県姫路市船橋町４丁目,34.8342253,134.6791967,20
兵庫県姫路市船橋町５丁目,34.8347695,134.6780229,230
兵庫県姫路市船橋町６丁目,34.8351072,134.6769958,38
兵庫県姫路市東雲町１丁目,34.8325927,134.682718,24
兵庫県姫路市東雲町２丁目,34.8328551,134.6809574,188
兵庫県姫路市東雲町３丁目,34.8330518,134.6796369,45
兵庫県姫路市東雲町４丁目,34.83346,134.6787566,90
兵庫県姫路市東雲町５丁目,34.8337272,134.6775827,112
兵庫県姫路市東雲町６丁目,34.8341353,134.6767023,27
兵庫県姫路市花影町１丁目,34.8315455,134.681691,55
兵庫県姫路市花影町２丁目,34.8320193,134.6803705,113
兵庫県姫路市花影町３丁目,34.83208,134.6793435,22
兵庫県姫路市花影町４丁目,34.8324881,134.6784631,85
兵庫県姫路市神田町１丁目,34.8304327,134.6811041,41
兵庫県姫路市神田町２丁目,34.8311834,134.6797836,95
兵庫県姫路市神田町３丁目,34.8313851,134.67905,11
兵庫県姫路市神田町４丁目,34.8316523,134.6778762,31
兵庫県姫路市定元町,34.8307885,134.6780963,5
兵庫県姫路市井ノ口,34.8231368,134.6618799,579
兵庫県姫路市西庄,34.8320022,134.6618799,1757
兵庫県姫路市岡田,34.8253934,134.6665766,1087
兵庫県姫路市中地,34.8184824,134.6683378,599
兵庫県姫路市玉手,34.8131416,134.6595313,113
兵庫県姫路市町坪,34.8154176,134.6855509,1003
兵庫県姫路市苫編,34.8202742,134.6513105,784
兵庫県姫路市中地南町,34.8157017,134.6671637,131
兵庫県姫路市土山１丁目,34.8307312,134.6753817,33
兵庫県姫路市土山２丁目,34.8312556,134.6718599,378
兵庫県姫路市土山３丁目,34.8334913,134.6742078,336
兵庫県姫路市土山４丁目,34.8323439,134.6695118,367
兵庫県姫路市土山５丁目,34.8345599,134.6695118,270
兵庫県姫路市土山６丁目,34.8328682,134.6659895,250
兵庫県姫路市土山７丁目,34.8356482,134.6671637,295
兵庫県姫路市土山東の町,34.832403,134.6765556,186
兵庫県姫路市町坪南町,34.8293272,134.6897598,67
兵庫県姫路市玉手１丁目,34.811751,134.6589442,312
兵庫県姫路市玉手２丁目,34.8134239,134.6601185,323
兵庫県姫路市玉手３丁目,34.8145527,134.662467,261
兵庫県姫路市玉手４丁目,34.8140883,134.6568891,90
兵庫県姫路市苫編南１丁目,34.8151555,134.6521914,223
兵庫県姫路市苫編南２丁目,34.8145805,134.6498423,270
兵庫県姫路市山畑新田,34.8390698,134.6789033,33
兵庫県姫路市今宿,34.8368278,134.6592378,2
兵庫県姫路市東夢前台１丁目,34.8578601,134.6568891,141
兵庫県姫路市東夢前台２丁目,34.8531072,134.6516041,355
兵庫県姫路市東夢前台３丁目,34.8464089,134.6457313,83
兵庫県姫路市上手野,34.8552507,134.6595313,559
兵庫県姫路市北夢前台１丁目,34.866489,134.6621734,133
兵庫県姫路市北夢前台２丁目,34.8623012,134.6580634,59
兵庫県姫路市南車崎１丁目,34.8347402,134.6745013,80
兵庫県姫路市南車崎２丁目,34.83613,134.6750882,192
兵庫県姫路市南今宿,34.8363825,134.6721534,206
兵庫県姫路市神子岡前１丁目,34.8367759,134.6695118,328
兵庫県姫路市東今宿１丁目,34.8377331,134.6680442,203
兵庫県姫路市東今宿３丁目,34.8389525,134.6648154,729
兵庫県姫路市東今宿４丁目,34.8400802,134.6671637,120
兵庫県姫路市東今宿５丁目,34.8411685,134.6648154,204
兵庫県姫路市東今宿６丁目,34.8429813,134.6662831,300
兵庫県姫路市高岡新町,34.8374829,134.6548339,74
兵庫県姫路市西今宿１丁目,34.840021,134.6601185,374
兵庫県姫路市西今宿２丁目,34.8433253,134.6577699,393
兵庫県姫路市西今宿３丁目,34.8416929,134.6612928,419
兵庫県姫路市西今宿４丁目,34.8450366,134.6636412,138
兵庫県姫路市西今宿５丁目,34.8461249,134.6612928,227
兵庫県姫路市西今宿６丁目,34.8466494,134.6577699,478
兵庫県姫路市西今宿７丁目,34.8493079,134.6609992,98
兵庫県姫路市西今宿８丁目,34.8478162,134.6648154,309
兵庫県姫路市藤ケ台,34.8498422,134.6586506,140
兵庫県姫路市山吹１丁目,34.8522478,134.6648154,228
兵庫県姫路市山吹２丁目,34.8544441,134.662467,234
兵庫県姫路市北今宿２丁目,34.8446724,134.6698053,271
兵庫県姫路市北今宿３丁目,34.8456199,134.6671637,360
兵庫県姫路市北今宿１丁目,34.8441282,134.6709794,126
兵庫県姫路市名古山町,34.8432,134.6759687,295
兵庫県姫路市下手野１丁目,34.8418754,134.650136,100
